,Occupation title (click on the occupation title to view its profile)
1,All Occupations
2,Management Occupations
3,Top Executives
4,Chief Executives
5,General and Operations Managers
6,Legislators
7,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
8,Advertising and Promotions Managers
9,Marketing and Sales Managers
10,Marketing Managers
11,Sales Managers
12,Public Relations and Fundraising Managers
13,Public Relations Managers
14,Fundraising Managers
15,Operations Specialties Managers
16,Administrative Services and Facilities Managers
17,Administrative Services Managers
18,Facilities Managers
19,Computer and Information Systems Managers
20,Financial Managers
21,Industrial Production Managers
22,Purchasing Managers
23,"Transportation, Storage, and Distribution Managers"
24,Compensation and Benefits Managers
25,Human Resources Managers
26,Training and Development Managers
27,Other Management Occupations
28,"Farmers, Ranchers, and Other Agricultural Managers"
29,Construction Managers
30,Education and Childcare Administrators
31,"Education and Childcare Administrators, Preschool and Daycare"
32,"Education Administrators, Kindergarten through Secondary"
33,"Education Administrators, Postsecondary"
34,"Education Administrators, All Other"
35,Architectural and Engineering Managers
36,Food Service Managers
37,Entertainment and Recreation Managers
38,Gambling Managers
39,"Entertainment and Recreation Managers, Except Gambling"
40,Lodging Managers
41,Medical and Health Services Managers
42,Natural Sciences Managers
43,Postmasters and Mail Superintendents
44,"Property, Real Estate, and Community Association Managers"
45,Social and Community Service Managers
46,Emergency Management Directors
47,Personal Service Managers
48,Funeral Home Managers
49,"Personal Service Managers, All Other"
50,"Managers, All Other"
51,Business and Financial Operations Occupations
52,Business Operations Specialists
53,"Agents and Business Managers of Artists, Performers, and Athletes"
54,Buyers and Purchasing Agents
55,"Claims Adjusters, Appraisers, Examiners, and Investigators"
56,"Claims Adjusters, Examiners, and Investigators"
57,"Insurance Appraisers, Auto Damage"
58,Compliance Officers
59,Cost Estimators
60,Human Resources Workers
61,Human Resources Specialists
62,Farm Labor Contractors
63,Labor Relations Specialists
64,Logisticians and Project Management Specialists
65,Logisticians
66,Project Management Specialists
67,Management Analysts
68,"Meeting, Convention, and Event Planners"
69,Fundraisers
70,"Compensation, Benefits, and Job Analysis Specialists"
71,Training and Development Specialists
72,Market Research Analysts and Marketing Specialists
73,"Business Operations Specialists, All Other"
74,Financial Specialists
75,Accountants and Auditors
76,Property Appraisers and Assessors
77,Budget Analysts
78,Credit Analysts
79,Financial Analysts and Advisors
80,Financial and Investment Analysts
81,Personal Financial Advisors
82,Insurance Underwriters
83,Financial Risk Specialists
84,Financial Examiners
85,Credit Counselors and Loan Officers
86,Credit Counselors
87,Loan Officers
88,"Tax Examiners, Collectors and Preparers, and Revenue Agents"
89,"Tax Examiners and Collectors, and Revenue Agents"
90,Tax Preparers
91,"Financial Specialists, All Other"
92,Computer and Mathematical Occupations
93,Computer Occupations
94,Computer and Information Analysts
95,Computer Systems Analysts
96,Information Security Analysts
97,Computer and Information Research Scientists
98,Computer Support Specialists
99,Computer Network Support Specialists
100,Computer User Support Specialists
101,Database and Network Administrators and Architects
102,Computer Network Architects
103,Database Administrators
104,Database Architects
105,Network and Computer Systems Administrators
106,"Software and Web Developers, Programmers, and Testers"
107,Computer Programmers
108,Software Developers
109,Software Quality Assurance Analysts and Testers
110,Web Developers
111,Web and Digital Interface Designers
112,"Computer Occupations, All Other"
113,Mathematical Science Occupations
114,Actuaries
115,Mathematicians
116,Operations Research Analysts
117,Statisticians
118,Data Scientists
119,"Mathematical Science Occupations, All Other"
120,Architecture and Engineering Occupations
121,"Architects, Surveyors, and Cartographers"
122,"Architects, Except Naval"
123,"Architects, Except Landscape and Naval"
124,Landscape Architects
125,"Surveyors, Cartographers, and Photogrammetrists"
126,Cartographers and Photogrammetrists
127,Surveyors
128,Engineers
129,Aerospace Engineers
130,Agricultural Engineers
131,Bioengineers and Biomedical Engineers
132,Chemical Engineers
133,Civil Engineers
134,Computer Hardware Engineers
135,Electrical and Electronics Engineers
136,Electrical Engineers
137,"Electronics Engineers, Except Computer"
138,Environmental Engineers
139,"Industrial Engineers, Including Health and Safety"
140,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
141,Industrial Engineers
142,Marine Engineers and Naval Architects
143,Materials Engineers
144,Mechanical Engineers
145,"Mining and Geological Engineers, Including Mining Safety Engineers"
146,Nuclear Engineers
147,Petroleum Engineers
148,"Engineers, All Other"
149,"Drafters, Engineering Technicians, and Mapping Technicians"
150,Drafters
151,Architectural and Civil Drafters
152,Electrical and Electronics Drafters
153,Mechanical Drafters
154,"Drafters, All Other"
155,"Engineering Technologists and Technicians, Except Drafters"
156,Aerospace Engineering and Operations Technologists and Technicians
157,Civil Engineering Technologists and Technicians
158,Electrical and Electronic Engineering Technologists and Technicians
159,Electro-Mechanical and Mechatronics Technologists and Technicians
160,Environmental Engineering Technologists and Technicians
161,Industrial Engineering Technologists and Technicians
162,Mechanical Engineering Technologists and Technicians
163,Calibration Technologists and Technicians
164,"Engineering Technologists and Technicians, Except Drafters, All Other"
165,Surveying and Mapping Technicians
166,"Life, Physical, and Social Science Occupations"
167,Life Scientists
168,Agricultural and Food Scientists
169,Animal Scientists
170,Food Scientists and Technologists
171,Soil and Plant Scientists
172,Biological Scientists
173,Biochemists and Biophysicists
174,Microbiologists
175,Zoologists and Wildlife Biologists
176,"Biological Scientists, All Other"
177,Conservation Scientists and Foresters
178,Conservation Scientists
179,Foresters
180,Medical Scientists
181,Epidemiologists
182,"Medical Scientists, Except Epidemiologists"
183,"Life Scientists, All Other"
184,Physical Scientists
185,Astronomers and Physicists
186,Astronomers
187,Physicists
188,Atmospheric and Space Scientists
189,Chemists and Materials Scientists
190,Chemists
191,Materials Scientists
192,Environmental Scientists and Geoscientists
193,"Environmental Scientists and Specialists, Including Health"
194,"Geoscientists, Except Hydrologists and Geographers"
195,Hydrologists
196,"Physical Scientists, All Other"
197,Social Scientists and Related Workers
198,Economists
199,Survey Researchers
200,Psychologists
201,Industrial-Organizational Psychologists
202,Clinical and Counseling Psychologists
203,School Psychologists
204,"Psychologists, All Other"
205,Sociologists
206,Urban and Regional Planners
207,Miscellaneous Social Scientists and Related Workers
208,Anthropologists and Archeologists
209,Geographers
210,Historians
211,Political Scientists
212,"Social Scientists and Related Workers, All Other"
213,"Life, Physical, and Social Science Technicians"
214,Agricultural and Food Science Technicians
215,Agricultural Technicians
216,Food Science Technicians
217,Biological Technicians
218,Chemical Technicians
219,Environmental Science and Geoscience Technicians
220,"Environmental Science and Protection Technicians, Including Health"
221,"Geological Technicians, Except Hydrologic Technicians"
222,Hydrologic Technicians
223,Nuclear Technicians
224,Social Science Research Assistants
225,Forest and Conservation Technicians
226,"Miscellaneous Life, Physical, and Social Science Technicians"
227,Forensic Science Technicians
228,"Life, Physical, and Social Science Technicians, All Other"
229,Occupational Health and Safety Specialists and Technicians
230,Occupational Health and Safety Specialists
231,Occupational Health and Safety Technicians
232,Community and Social Service Occupations
233,"Counselors, Social Workers, and Other Community and Social Service Specialists"
234,Counselors
